,over_under
Player_1_PTS,0.15844618623145065
Player_1_PTS_rolling_avg,0.07605411301722524
Player_1_FGP,0.15647023654310332
Player_1_FGP_rolling_avg,0.07783376603500965
Player_1_ThreePP,0.0888644270611419
Player_1_ThreePP_rolling_avg,0.03829194688542462
Player_1_FTP,0.06222826415384318
Player_1_FTP_rolling_avg,0.03961666266436636
Player_1_REB,-0.04513980056261079
Player_1_REB_rolling_avg,-0.022245888011364293
Player_1_AST,0.103533720652249
Player_1_AST_rolling_avg,0.05539471237876553
Player_1_STL,-0.018228713664652115
Player_1_BLK,-0.016366168284142123
Player_1_TOV,-0.021164234547692843
Player_1_TOV_rolling_avg,-0.011396320667304949
Player_1_PF,0.04592923089814397
Player_1_PlusMinus,0.00385760221603584
Player_1_FP,0.12267753502701902
Player_1_FP_rolling_avg,0.06043121721830315
Player_1_uPER,0.18904548913125852
Player_1_uPER_rolling_avg,0.09723482718347856
Player_1_raptor_offense,0.007773328486476117
Player_1_raptor_offense_rolling_avg,0.0070153616314729255
Player_1_raptor_defense,-0.0333529304123346
Player_1_raptor_total,-0.01504745475465888
Player_1_war_reg_season,-0.010200793198388325
Player_2_PTS,0.14352234456698337
Player_2_PTS_rolling_avg,0.074176482616493
Player_2_FGP,0.130266934954781
Player_2_FGP_rolling_avg,0.06781693255461624
Player_2_ThreePP,0.10681769187603198
Player_2_ThreePP_rolling_avg,0.06807164033816811
Player_2_FTP,0.043157534647594954
Player_2_FTP_rolling_avg,0.02953576733689991
Player_2_REB,-0.05429635811652275
Player_2_REB_rolling_avg,-0.046407770960285095
Player_2_AST,0.08534387575210489
Player_2_AST_rolling_avg,0.057001227457682574
Player_2_STL,-0.00948741101729449
Player_2_BLK,-0.042814613267018256
Player_2_TOV,-0.015276800365009304
Player_2_TOV_rolling_avg,1.4772089712090131e-05
Player_2_PF,0.05986466147138997
Player_2_PlusMinus,0.0034061580010931267
Player_2_FP,0.09805990468840062
Player_2_FP_rolling_avg,0.04284972350526687
Player_2_uPER,0.1574100910744493
Player_2_uPER_rolling_avg,0.08278522942439333
Player_2_raptor_offense,0.011844318779759649
Player_2_raptor_offense_rolling_avg,0.011560042615961103
Player_2_raptor_defense,-0.02886621573115581
Player_2_raptor_total,-0.009506707728565081
Player_2_war_reg_season,-0.009432056912506625
Player_3_PTS,0.12259986991496785
Player_3_PTS_rolling_avg,0.07355892460147398
Player_3_FGP,0.12442976826971645
Player_3_FGP_rolling_avg,0.06660260124433921
Player_3_ThreePP,0.08581300254763956
Player_3_ThreePP_rolling_avg,0.054591457187184556
Player_3_FTP,0.05223674329814881
Player_3_FTP_rolling_avg,0.04434723626929871
Player_3_REB,-0.0338890796347193
Player_3_REB_rolling_avg,-0.018125766715283022
Player_3_AST,0.06640520243036033
Player_3_AST_rolling_avg,0.03748678399123926
Player_3_STL,-0.003072150428545574
Player_3_BLK,-0.016882563171863384
Player_3_TOV,-0.03858923985012175
Player_3_TOV_rolling_avg,-0.0214304528562399
Player_3_PF,0.045118517393400344
Player_3_PlusMinus,0.007559767849593343
Player_3_FP,0.09106726370075913
Player_3_FP_rolling_avg,0.05539765832429516
Player_3_uPER,0.15328714271806695
Player_3_uPER_rolling_avg,0.09265127815280377
Player_3_raptor_offense,0.0018750487385099034
Player_3_raptor_offense_rolling_avg,0.0005793261828820641
Player_3_raptor_defense,-0.0342163499207473
Player_3_raptor_total,-0.02145039431057409
Player_3_war_reg_season,-0.017433850489474226
Player_4_PTS,0.12032216632105329
Player_4_PTS_rolling_avg,0.06788531751446611
Player_4_FGP,0.12619165313508218
Player_4_FGP_rolling_avg,0.07433114460868975
Player_4_ThreePP,0.078229688498505
Player_4_ThreePP_rolling_avg,0.054046858103062034
Player_4_FTP,0.038056146106199916
Player_4_FTP_rolling_avg,0.018613839661053903
Player_4_REB,-0.028613697490887238
Player_4_REB_rolling_avg,-0.008501679306717351
Player_4_AST,0.06394481828893733
Player_4_AST_rolling_avg,0.03346712409258626
Player_4_STL,-0.01682164608405211
Player_4_BLK,-0.009052301185649054
Player_4_TOV,-0.031119605606455342
Player_4_TOV_rolling_avg,-0.028622479483699927
Player_4_PF,0.04230941100456324
Player_4_PlusMinus,0.006432508383650406
Player_4_FP,0.08487950870145751
Player_4_FP_rolling_avg,0.05098828161033638
Player_4_uPER,0.14925135236003548
Player_4_uPER_rolling_avg,0.09407087610165185
Player_4_raptor_offense,0.021646894100804056
Player_4_raptor_offense_rolling_avg,0.020967278811016357
Player_4_raptor_defense,-0.019536501301094213
Player_4_raptor_total,0.001566482612566811
Player_4_war_reg_season,0.012368023541450824
Player_5_PTS,0.1307141242586278
Player_5_PTS_rolling_avg,0.0820541135988894
Player_5_FGP,0.11631300187267332
Player_5_FGP_rolling_avg,0.08455491087838073
Player_5_ThreePP,0.07754093753885052
Player_5_ThreePP_rolling_avg,0.058178280856021704
Player_5_FTP,0.0581706767966429
Player_5_FTP_rolling_avg,0.023048940359255903
Player_5_REB,-0.046068693952565784
Player_5_REB_rolling_avg,-0.03127896400001066
Player_5_AST,0.08110473243468404
Player_5_AST_rolling_avg,0.04304225881317035
Player_5_STL,-0.025110143428786598
Player_5_BLK,-0.015535333904436394
Player_5_TOV,-0.022485526392693394
Player_5_TOV_rolling_avg,-0.015078076161106757
Player_5_PF,0.02593691197757726
Player_5_PlusMinus,-0.0009118157545027084
Player_5_FP,0.0804870536617975
Player_5_FP_rolling_avg,0.041093797024097434
Player_5_uPER,0.14175666262229752
Player_5_uPER_rolling_avg,0.09014829532846674
Player_5_raptor_offense,0.03438614454785484
Player_5_raptor_offense_rolling_avg,0.032607083589712385
Player_5_raptor_defense,-0.01718133666617583
Player_5_raptor_total,0.010511635821012678
Player_5_war_reg_season,-0.0020057471749230955
Player_6_PTS,0.10888374324310324
Player_6_PTS_rolling_avg,0.07008427977827729
Player_6_FGP,0.1042978346652668
Player_6_FGP_rolling_avg,0.0764950832515976
Player_6_ThreePP,0.08945214340974526
Player_6_ThreePP_rolling_avg,0.061199434136974894
Player_6_FTP,0.040629046849864466
Player_6_FTP_rolling_avg,0.012803233435491949
Player_6_REB,-0.049434522138429554
Player_6_REB_rolling_avg,-0.02692351441061047
Player_6_AST,0.04053994696026738
Player_6_AST_rolling_avg,0.03277406073362497
Player_6_STL,-0.015375548848405408
Player_6_BLK,-0.01920047655265454
Player_6_TOV,-0.026908792483252106
Player_6_TOV_rolling_avg,-0.012914539233009076
Player_6_PF,0.035320799588305966
Player_6_PlusMinus,-0.0063780047853031815
Player_6_FP,0.0567267633446901
Player_6_FP_rolling_avg,0.03994298437799895
Player_6_uPER,0.11605452885896106
Player_6_uPER_rolling_avg,0.07753561672302199
Player_6_raptor_offense,0.009152358259022922
Player_6_raptor_offense_rolling_avg,0.011385553123277525
Player_6_raptor_defense,-0.021664282221202487
Player_6_raptor_total,-0.009987646126702738
Player_6_war_reg_season,-0.01565262694091082
over_under,1.0
