,over_under
PTS_team,0.5698780336681604
PTS_team_rolling_avg,0.3022396099565793
FGP_team,0.3968157520091793
FGP_team_rolling_avg,0.21398394360292058
ThreePP_team,0.3093928982109994
ThreePP_team_rolling_avg,0.17124152131007456
FTM_team,0.20966687157949607
FTA_team,0.18059832172437568
FTP_team,0.11290853773924285
FTP_team_rolling_avg,0.07148791677535817
REB_team,-0.16414584631256596
REB_team_rolling_avg,-0.08081403022165337
AST_team,0.29019887757032287
AST_team_rolling_avg,0.1567893749046233
STL_team,-0.041321911734492775
BLK_team,-0.05358577574850453
TOV_team,-0.08968206591951042
TOV_team_rolling_avg,-0.06347703868361511
PF_team,0.14064754410085306
PlusMinus_team,-8.352232787106102e-05
ORtg_team,0.49054967735131677
ORtg_team_rolling_avg,0.26862993122406664
DRtg_team,0.4963019513060564
DRtg_team_rolling_avg,0.2711213145902257
NetRtg_team,-0.00033417332850675706
NetRtg_team_rolling_avg,0.0006858357506407837
Poss_team,0.23106431820855206
PTS_opponent,0.569993015626316
PTS_opponent_rolling_avg,0.30215961775634165
FGP_opponent,0.3967992612045431
FGP_opponent_rolling_avg,0.21375943906082195
ThreePP_opponent,0.3093930478905775
ThreePP_opponent_rolling_avg,0.1714713519355666
FTP_opponent,0.11301526200432378
FTP_opponent_rolling_avg,0.07160764184248544
REB_opponent,-0.16408533453689889
REB_opponent_rolling_avg,-0.08119037588003636
AST_opponent,0.29051278562933536
AST_opponent_rolling_avg,0.15689799035794913
STL_opponent,-0.04105070977285912
BLK_opponent,-0.05335631348613856
TOV_opponent,-0.08996672099620573
TOV_opponent_rolling_avg,-0.06399156821521185
PF_opponent,0.14085407528170757
PlusMinus_opponent,8.352232787106102e-05
ORtg_opponent,0.4907237934704694
ORtg_opponent_rolling_avg,0.2685260321136714
DRtg_opponent,0.4962471273259988
DRtg_opponent_rolling_avg,0.2711413585139093
NetRtg_opponent,-0.0001660423542062238
NetRtg_opponent_rolling_avg,0.0005831453910276174
Poss_opponent,0.2309497764516438
over_under,1.0
