PLAYER,TEAM,MATCH UP,GAME DATE,WL,MIN,PTS,FGM,FGA,FGP,ThreePM,ThreePA,ThreePP,FTM,FTA,FTP,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PlusMinus,FP
Keita Bates-Diop,DEN,DEN @ TOR,08/14/2020,L,24,11,3,11,27.3,1,4,25.0,4,4,100,2,4,6,0,1,2,2,3,-1,25.2
P.J. Tucker,HOU,HOU vs. PHI,08/14/2020,L,29,7,3,6,50.0,1,4,25.0,0,0,-,0,1,1,2,0,1,0,2,-12,14.2
Austin Rivers,HOU,HOU vs. PHI,08/14/2020,L,12,1,0,2,0.0,0,2,0.0,1,2,50.0,0,1,1,0,1,0,1,0,-16,4.2
DeMarre Carroll,HOU,HOU vs. PHI,08/14/2020,L,25,5,2,5,40.0,1,3,33.3,0,0,-,0,4,4,1,1,0,1,2,-29,13.3
Eric Gordon,HOU,HOU vs. PHI,08/14/2020,L,23,13,4,10,40.0,3,6,50.0,2,2,100,0,2,2,2,0,1,1,1,-12,20.4
Chris Clemons,HOU,HOU vs. PHI,08/14/2020,L,17,4,2,7,28.6,0,5,0.0,0,0,-,0,1,1,4,1,1,1,4,-23,16.2
Michael Frazier II,HOU,HOU vs. PHI,08/14/2020,L,17,0,0,4,0.0,0,4,0.0,0,0,-,0,1,1,0,0,0,1,1,-23,0.2
Robert Covington,HOU,HOU vs. PHI,08/14/2020,L,24,5,1,4,25.0,1,4,25.0,2,2,100,0,5,5,1,2,2,1,1,-3,23.5
Joel Embiid,PHI,PHI @ HOU,08/14/2020,W,23,14,6,12,50.0,0,0,-,2,3,66.7,2,4,6,1,1,1,5,5,9,23.7
Raul Neto,PHI,PHI @ HOU,08/14/2020,W,19,14,4,8,50.0,1,3,33.3,5,7,71.4,0,3,3,5,0,0,0,0,20,25.1
Mason Plumlee,DEN,DEN @ TOR,08/14/2020,L,20,10,4,6,66.7,0,0,-,2,3,66.7,1,2,3,2,0,4,0,2,-3,28.6
Norman Powell,TOR,TOR vs. DEN,08/14/2020,W,23,15,6,9,66.7,3,5,60.0,0,0,-,1,5,6,2,1,1,3,2,-3,28.2
Bol Bol,DEN,DEN @ TOR,08/14/2020,L,15,8,2,6,33.3,0,1,0.0,4,5,80.0,1,3,4,2,0,3,2,2,1,22.8
Rondae Hollis-Jefferson,TOR,TOR vs. DEN,08/14/2020,W,22,6,3,9,33.3,0,0,-,0,1,0.0,2,4,6,3,0,1,1,1,11,19.7
Nikola Jokic,DEN,DEN @ TOR,08/14/2020,L,10,2,1,1,100,0,0,-,0,0,-,0,1,1,2,0,0,1,0,-6,5.2
Torrey Craig,DEN,DEN @ TOR,08/14/2020,L,15,3,1,6,16.7,1,3,33.3,0,0,-,1,3,4,3,0,0,1,0,-6,11.3
Jerami Grant,DEN,DEN @ TOR,08/14/2020,L,18,2,1,6,16.7,0,3,0.0,0,0,-,1,1,2,1,0,0,0,0,2,5.9
Noah Vonleh,DEN,DEN @ TOR,08/14/2020,L,7,2,1,2,50.0,0,0,-,0,0,-,0,0,0,1,0,0,0,0,0,3.5
Marc Gasol,TOR,TOR vs. DEN,08/14/2020,W,17,2,1,3,33.3,0,1,0.0,0,0,-,0,3,3,5,1,1,2,2,-2,17.1
Matisse Thybulle,PHI,PHI @ HOU,08/14/2020,W,18,7,3,4,75.0,1,2,50.0,0,0,-,1,1,2,1,4,2,1,1,36,27.9
Norvel Pelle,PHI,PHI @ HOU,08/14/2020,W,9,6,3,4,75.0,0,1,0.0,0,0,-,0,2,2,0,0,0,1,2,0,7.4
Shake Milton,PHI,PHI @ HOU,08/14/2020,W,19,11,4,7,57.1,3,6,50.0,0,0,-,0,2,2,1,0,0,2,3,-5,12.9
James Harden,HOU,HOU vs. PHI,08/14/2020,L,26,27,9,16,56.3,4,9,44.4,5,5,100,0,3,3,10,1,2,7,1,-11,47.6
Jeff Green,HOU,HOU vs. PHI,08/14/2020,L,25,17,8,10,80.0,0,2,0.0,1,1,100,0,0,0,4,1,1,0,4,-7,29.0
Al Horford,PHI,PHI @ HOU,08/14/2020,W,22,10,4,7,57.1,2,3,66.7,0,0,-,0,3,3,4,0,0,3,3,0,16.6
Alec Burks,PHI,PHI @ HOU,08/14/2020,W,22,16,6,11,54.5,4,6,66.7,0,0,-,2,3,5,5,2,0,0,0,37,35.5
Marial Shayok,PHI,PHI @ HOU,08/14/2020,W,8,5,1,4,25.0,1,3,33.3,2,2,100,1,1,2,0,0,0,1,1,4,6.4
Furkan Korkmaz,PHI,PHI @ HOU,08/14/2020,W,17,12,4,7,57.1,2,5,40.0,2,2,100,0,5,5,1,0,0,2,1,27,17.5
Ben McLemore,HOU,HOU vs. PHI,08/14/2020,L,11,3,1,4,25.0,1,3,33.3,0,0,-,0,2,2,1,1,0,0,0,-17,9.9
Luc Mbah a Moute,HOU,HOU vs. PHI,08/14/2020,L,14,3,1,3,33.3,0,2,0.0,1,2,50.0,0,1,1,0,0,0,0,0,-14,4.2
Josh Richardson,PHI,PHI @ HOU,08/14/2020,W,23,5,2,4,50.0,1,2,50.0,0,0,-,0,1,1,1,0,0,0,2,0,7.7
Kyle O'Quinn,PHI,PHI @ HOU,08/14/2020,W,17,6,3,5,60.0,0,2,0.0,0,0,-,1,5,6,5,0,1,1,1,23,22.7
Tobias Harris,PHI,PHI @ HOU,08/14/2020,W,24,18,6,10,60.0,2,3,66.7,4,4,100,0,7,7,4,1,0,0,0,2,35.4
Mike Scott,PHI,PHI @ HOU,08/14/2020,W,20,10,3,4,75.0,1,2,50.0,3,4,75.0,1,6,7,3,0,0,0,0,37,22.9
Bruno Caboclo,HOU,HOU vs. PHI,08/14/2020,L,17,11,4,9,44.4,1,4,25.0,2,2,100,1,5,6,0,2,1,4,2,-23,23.2
Derrick Jones Jr.,MIA,MIA @ IND,08/14/2020,L,16,3,1,2,50.0,0,0,-,1,2,50.0,2,0,2,2,2,0,0,2,-2,14.4
Aaron Holiday,IND,IND vs. MIA,08/14/2020,W,17,11,5,7,71.4,1,3,33.3,0,0,-,0,2,2,2,3,0,2,2,2,23.4
Andre Roberson,OKC,OKC @ LAC,08/14/2020,L,28,3,1,9,11.1,0,6,0.0,1,2,50.0,1,4,5,2,0,1,0,4,6,15.0
Paul Watson,TOR,TOR vs. DEN,08/14/2020,W,27,22,8,13,61.5,4,6,66.7,2,3,66.7,0,6,6,2,1,0,1,2,8,34.2
Terence Davis,TOR,TOR vs. DEN,08/14/2020,W,34,14,5,15,33.3,2,6,33.3,2,2,100,1,5,6,3,2,0,3,2,6,28.7
Monte Morris,DEN,DEN @ TOR,08/14/2020,L,30,16,4,14,28.6,2,7,28.6,6,6,100,0,6,6,4,0,1,2,0,-7,30.2
PJ Dozier,DEN,DEN @ TOR,08/14/2020,L,31,20,6,9,66.7,5,6,83.3,3,3,100,0,5,5,8,2,0,1,0,-5,43.0
Paul Millsap,DEN,DEN @ TOR,08/14/2020,L,16,10,4,8,50.0,2,3,66.7,0,0,-,1,2,3,2,2,1,1,2,-4,24.6
Reggie Jackson,LAC,LAC vs. OKC,08/14/2020,W,16,7,2,8,25.0,1,4,25.0,2,2,100,0,2,2,3,0,0,3,3,8,10.9
JaMychal Green,LAC,LAC vs. OKC,08/14/2020,W,27,13,5,11,45.5,3,6,50.0,0,0,-,0,8,8,0,1,0,3,3,-2,22.6
Patrick Patterson,LAC,LAC vs. OKC,08/14/2020,W,39,17,4,16,25.0,4,11,36.4,5,6,83.3,3,11,14,0,0,0,2,3,-6,31.8
Danilo Gallinari,OKC,OKC @ LAC,08/14/2020,L,9,3,0,3,0.0,0,1,0.0,3,3,100,0,1,1,0,0,0,0,2,0,4.2
Hamidou Diallo,OKC,OKC @ LAC,08/14/2020,L,40,27,10,22,45.5,4,8,50.0,3,5,60.0,4,7,11,1,0,1,2,5,-4,42.7
Terance Mann,LAC,LAC vs. OKC,08/14/2020,W,42,25,8,12,66.7,1,3,33.3,8,13,61.5,4,10,14,9,2,0,3,5,-7,58.3
Shai Gilgeous-Alexander,OKC,OKC @ LAC,08/14/2020,L,14,13,6,10,60.0,0,1,0.0,1,1,100,0,4,4,0,1,0,3,0,12,17.8
Amir Coffey,LAC,LAC vs. OKC,08/14/2020,W,50,21,7,17,41.2,2,8,25.0,5,8,62.5,0,2,2,4,4,1,2,6,11,42.4
Rodney McGruder,LAC,LAC vs. OKC,08/14/2020,W,51,9,2,11,18.2,1,5,20.0,4,6,66.7,3,8,11,2,2,0,2,0,0,29.2
Darius Bazley,OKC,OKC @ LAC,08/14/2020,L,31,9,3,12,25.0,2,5,40.0,1,3,33.3,1,7,8,1,0,2,1,0,7,25.1
Mike Muscala,OKC,OKC @ LAC,08/14/2020,L,14,3,1,3,33.3,1,3,33.3,0,0,-,0,1,1,0,0,1,0,1,-8,7.2
Kevin Hervey,OKC,OKC @ LAC,08/14/2020,L,11,5,2,6,33.3,1,5,20.0,0,0,-,1,3,4,1,0,0,0,2,-10,11.3
Dennis Schroder,OKC,OKC @ LAC,08/14/2020,L,25,17,6,12,50.0,3,3,100,2,2,100,0,1,1,4,1,0,2,4,-10,25.2
Ivica Zubac,LAC,LAC vs. OKC,08/14/2020,W,11,6,2,3,66.7,0,0,-,2,2,100,1,3,4,0,0,1,1,1,8,12.8
Devon Hall,OKC,OKC @ LAC,08/14/2020,L,24,12,4,12,33.3,3,6,50.0,1,4,25.0,1,0,1,4,3,0,1,2,-1,27.2
Justin Holiday,IND,IND vs. MIA,08/14/2020,W,24,11,3,5,60.0,3,5,60.0,2,2,100,0,7,7,0,1,0,2,3,7,20.4
Brian Bowen II,IND,IND vs. MIA,08/14/2020,W,2,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,1,0,2.0
T.J. Leaf,IND,IND vs. MIA,08/14/2020,W,18,6,3,9,33.3,0,2,0.0,0,1,0.0,0,3,3,1,2,0,0,2,10,17.1
Duncan Robinson,MIA,MIA @ IND,08/14/2020,L,13,0,0,3,0.0,0,3,0.0,0,0,-,0,2,2,1,0,0,2,1,-5,1.9
Naz Mitrou-Long,IND,IND vs. MIA,08/14/2020,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,1,1,0,0.5
Goga Bitadze,IND,IND vs. MIA,08/14/2020,W,16,4,2,5,40.0,0,2,0.0,0,0,-,1,2,3,2,1,2,2,3,9,17.6
Alize Johnson,IND,IND vs. MIA,08/14/2020,W,38,11,3,8,37.5,2,5,40.0,3,4,75.0,7,10,17,4,0,1,3,3,10,37.4
Kelly Olynyk,MIA,MIA @ IND,08/14/2020,L,20,6,2,9,22.2,2,8,25.0,0,0,-,0,6,6,0,0,1,0,0,-9,16.2
Kendrick Nunn,MIA,MIA @ IND,08/14/2020,L,33,23,8,27,29.6,1,9,11.1,6,6,100,1,1,2,4,3,1,5,1,-21,38.4
Solomon Hill,MIA,MIA @ IND,08/14/2020,L,41,21,5,13,38.5,1,4,25.0,10,12,83.3,2,5,7,3,1,0,3,2,-8,33.9
Edmond Sumner,IND,IND vs. MIA,08/14/2020,W,31,7,3,7,42.9,0,3,0.0,1,1,100,0,2,2,6,0,0,2,4,15,16.4
Udonis Haslem,MIA,MIA @ IND,08/14/2020,L,24,7,3,5,60.0,1,1,100,0,0,-,1,7,8,0,0,0,1,3,-5,15.6
Doug McDermott,IND,IND vs. MIA,08/14/2020,W,22,23,8,16,50.0,5,11,45.5,2,3,66.7,1,3,4,0,1,0,0,2,10,30.8
Chris Silva,MIA,MIA @ IND,08/14/2020,L,24,5,2,4,50.0,0,0,-,1,4,25.0,4,7,11,1,0,3,1,3,-12,27.7
Tyler Herro,MIA,MIA @ IND,08/14/2020,L,28,16,6,16,37.5,3,8,37.5,1,1,100,1,0,1,3,0,0,3,2,-10,18.7
Kyle Alexander,MIA,MIA @ IND,08/14/2020,L,12,2,1,1,100,0,0,-,0,0,-,1,1,2,0,0,0,1,1,-3,3.4
Devontae Cacok,LAL,LAL vs. SAC,08/13/2020,L,9,6,3,6,50.0,0,0,-,0,0,-,2,3,5,1,0,0,0,0,5,13.5
DaQuan Jeffries,SAC,SAC @ LAL,08/13/2020,W,26,7,3,7,42.9,1,3,33.3,0,0,-,1,3,4,0,1,0,1,4,-3,13.8
Harry Giles III,SAC,SAC @ LAL,08/13/2020,W,4,4,2,3,66.7,0,0,-,0,0,-,0,1,1,0,0,0,1,1,-10,4.2
LeBron James,LAL,LAL vs. SAC,08/13/2020,L,15,17,6,13,46.2,2,5,40.0,3,3,100,1,2,3,4,0,0,3,0,-13,23.6
Dion Waiters,LAL,LAL vs. SAC,08/13/2020,L,26,19,8,15,53.3,3,6,50.0,0,1,0.0,1,2,3,5,0,0,5,2,-1,25.1
Jared Dudley,LAL,LAL vs. SAC,08/13/2020,L,23,6,2,3,66.7,2,3,66.7,0,0,-,0,4,4,5,1,0,1,3,-6,20.3
Delon Wright,DAL,DAL @ PHX,08/13/2020,L,22,4,2,4,50.0,0,0,-,0,0,-,0,2,2,4,1,0,1,1,-5,14.4
Tim Hardaway Jr.,DAL,DAL @ PHX,08/13/2020,L,20,8,2,8,25.0,1,3,33.3,3,4,75.0,0,2,2,0,0,0,1,2,-24,9.4
Maxi Kleber,DAL,DAL @ PHX,08/13/2020,L,11,3,1,2,50.0,1,2,50.0,0,0,-,1,0,1,0,0,1,0,1,-18,7.2
Josh Reaves,DAL,DAL @ PHX,08/13/2020,L,13,4,1,4,25.0,0,1,0.0,2,2,100,1,1,2,0,0,0,0,3,1,6.4
Cameron Johnson,PHX,PHX vs. DAL,08/13/2020,W,30,15,7,11,63.6,1,4,25.0,0,0,-,2,3,5,3,2,1,0,1,12,34.5
Dorian Finney-Smith,DAL,DAL @ PHX,08/13/2020,L,11,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,1,0,0,0,1,2,1.5
Elie Okobo,PHX,PHX vs. DAL,08/13/2020,W,12,4,0,0,-,0,0,-,4,4,100,0,2,2,2,0,0,0,1,1,9.4
Antonius Cleveland,DAL,DAL @ PHX,08/13/2020,L,13,4,2,3,66.7,0,1,0.0,0,1,0.0,0,1,1,1,0,2,1,2,1,11.7
Devin Booker,PHX,PHX vs. DAL,08/13/2020,W,32,27,11,20,55.0,0,5,0.0,5,5,100,0,7,7,5,0,0,0,3,30,42.9
Michael Kidd-Gilchrist,DAL,DAL @ PHX,08/13/2020,L,21,6,2,5,40.0,0,0,-,2,2,100,1,2,3,1,0,1,1,2,-17,13.1
Jevon Carter,PHX,PHX vs. DAL,08/13/2020,W,26,9,3,7,42.9,3,5,60.0,0,0,-,0,2,2,1,1,1,0,1,5,18.9
Mikal Bridges,PHX,PHX vs. DAL,08/13/2020,W,28,14,6,10,60.0,2,4,50.0,0,0,-,0,4,4,3,0,1,1,2,26,25.3
Dario Saric,PHX,PHX vs. DAL,08/13/2020,W,26,16,6,10,60.0,2,3,66.7,2,4,50.0,0,6,6,2,0,0,2,3,3,24.2
Deandre Ayton,PHX,PHX vs. DAL,08/13/2020,W,26,11,5,10,50.0,0,1,0.0,1,2,50.0,3,6,9,3,2,1,0,0,19,35.3
Ty Jerome,PHX,PHX vs. DAL,08/13/2020,W,5,4,1,3,33.3,1,2,50.0,1,2,50.0,1,1,2,1,0,0,0,0,5,7.9
Cheick Diallo,PHX,PHX vs. DAL,08/13/2020,W,5,6,3,4,75.0,0,0,-,0,0,-,0,1,1,0,0,0,0,0,5,7.2
Luka Doncic,DAL,DAL @ PHX,08/13/2020,L,13,18,5,9,55.6,1,2,50.0,7,7,100,1,4,5,0,1,0,1,2,-4,26.0
Seth Curry,DAL,DAL @ PHX,08/13/2020,L,20,8,3,9,33.3,2,3,66.7,0,0,-,1,1,2,0,0,0,0,2,-24,10.4
Cameron Payne,PHX,PHX vs. DAL,08/13/2020,W,29,15,5,8,62.5,3,5,60.0,2,3,66.7,1,4,5,2,0,0,1,2,20,23.0
Justin Jackson,DAL,DAL @ PHX,08/13/2020,L,29,13,5,10,50.0,1,4,25.0,2,2,100,0,2,2,0,0,0,1,0,-11,14.4
Ricky Rubio,PHX,PHX vs. DAL,08/13/2020,W,21,7,2,6,33.3,2,5,40.0,1,1,100,0,2,2,12,1,0,1,1,4,29.4
Boban Marjanovic,DAL,DAL @ PHX,08/13/2020,L,29,18,9,14,64.3,0,1,0.0,0,1,0.0,6,14,20,3,0,0,3,2,-12,43.5
Kyle Guy,SAC,SAC @ LAL,08/13/2020,W,6,2,1,3,33.3,0,2,0.0,0,0,-,0,1,1,1,0,0,0,1,-8,4.7
Justin James,SAC,SAC @ LAL,08/13/2020,W,10,4,2,4,50.0,0,1,0.0,0,0,-,0,2,2,1,0,0,0,0,-7,7.9
Lance Thomas,BKN,BKN vs. POR,08/13/2020,L,4,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-11,1.2
Justin Anderson,BKN,BKN vs. POR,08/13/2020,L,6,3,1,2,50.0,1,2,50.0,0,0,-,0,1,1,0,0,0,1,2,-6,3.2
Zach Collins,POR,POR @ BKN,08/13/2020,W,17,2,1,7,14.3,0,2,0.0,0,0,-,3,3,6,0,0,0,0,0,-4,9.2
Jeremiah Martin,BKN,BKN vs. POR,08/13/2020,L,9,2,1,2,50.0,0,0,-,0,0,-,0,0,0,2,2,0,0,1,-14,11.0
Anfernee Simons,POR,POR @ BKN,08/13/2020,W,2,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,0,1,1.2
Garrett Temple,BKN,BKN vs. POR,08/13/2020,L,37,15,4,10,40.0,3,7,42.9,4,4,100,1,9,10,4,0,0,0,2,12,33.0
Gary Trent Jr.,POR,POR @ BKN,08/13/2020,W,37,16,6,13,46.2,4,10,40.0,0,0,-,0,1,1,1,2,1,1,5,-6,26.7
Timothe Luwawu-Cabarrot,BKN,BKN vs. POR,08/13/2020,L,32,19,7,13,53.8,5,9,55.6,0,0,-,2,6,8,1,0,0,2,5,6,28.1
Carmelo Anthony,POR,POR @ BKN,08/13/2020,W,37,9,4,12,33.3,1,4,25.0,0,0,-,3,4,7,1,1,0,2,5,13,19.9
Hassan Whiteside,POR,POR @ BKN,08/13/2020,W,15,16,5,6,83.3,0,0,-,6,6,100,5,4,9,1,1,2,1,2,-9,36.3
Damian Lillard,POR,POR @ BKN,08/13/2020,W,44,42,13,22,59.1,8,14,57.1,8,9,88.9,0,3,3,12,2,0,1,1,-1,68.6
CJ McCollum,POR,POR @ BKN,08/13/2020,W,44,25,9,21,42.9,0,6,0.0,7,8,87.5,1,3,4,7,3,1,2,3,7,50.3
Jusuf Nurkic,POR,POR @ BKN,08/13/2020,W,33,22,11,17,64.7,0,0,-,0,1,0.0,2,8,10,3,1,0,1,5,10,40.5
Jarrett Allen,BKN,BKN vs. POR,08/13/2020,L,37,14,5,8,62.5,0,0,-,4,9,44.4,6,5,11,4,0,3,1,1,16,41.2
Joe Harris,BKN,BKN vs. POR,08/13/2020,L,34,19,9,14,64.3,1,4,25.0,0,0,-,1,2,3,4,0,0,3,5,-20,25.6
Tyler Johnson,BKN,BKN vs. POR,08/13/2020,L,24,16,7,13,53.8,2,4,50.0,0,0,-,0,1,1,2,1,0,0,2,4,23.2
Rodions Kurucs,BKN,BKN vs. POR,08/13/2020,L,23,8,3,5,60.0,1,2,50.0,1,2,50.0,1,4,5,2,0,1,1,4,4,19.0
Caris LeVert,BKN,BKN vs. POR,08/13/2020,L,33,37,16,29,55.2,1,5,20.0,4,4,100,1,5,6,9,2,1,6,1,4,60.7
Mario Hezonja,POR,POR @ BKN,08/13/2020,W,11,2,1,5,20.0,0,2,0.0,0,0,-,0,1,1,0,0,0,1,0,-6,2.2
Nickeil Alexander-Walker,NOP,NOP @ ORL,08/13/2020,L,36,29,11,18,61.1,2,6,33.3,5,5,100,1,0,1,7,1,0,6,4,-11,37.7
Zylan Cheatham,NOP,NOP @ ORL,08/13/2020,L,20,8,4,4,100,0,0,-,0,0,-,2,1,3,1,1,0,1,5,2,15.1
Javonte Green,BOS,BOS vs. WAS,08/13/2020,L,34,23,8,17,47.1,3,9,33.3,4,4,100,3,1,4,0,0,0,4,4,-13,23.8
Semi Ojeleye,BOS,BOS vs. WAS,08/13/2020,L,31,13,4,11,36.4,2,6,33.3,3,3,100,2,6,8,2,1,0,3,0,-3,25.6
Vincent Poirier,BOS,BOS vs. WAS,08/13/2020,L,16,2,1,3,33.3,0,0,-,0,0,-,3,6,9,1,0,3,2,2,-8,21.3
Tacko Fall,BOS,BOS vs. WAS,08/13/2020,L,8,4,2,2,100,0,0,-,0,0,-,1,3,4,1,1,2,0,2,0,19.3
Jaxson Hayes,NOP,NOP @ ORL,08/13/2020,L,31,13,5,7,71.4,0,0,-,3,4,75.0,2,2,4,0,0,1,1,4,-13,19.8
Frank Jackson,NOP,NOP @ ORL,08/13/2020,L,36,31,12,24,50.0,3,9,33.3,4,5,80.0,0,2,2,5,1,0,0,2,-8,43.9
Ish Smith,WAS,WAS @ BOS,08/13/2020,W,31,11,5,13,38.5,0,0,-,1,2,50.0,0,3,3,8,1,2,5,1,8,30.6
Johnathan Williams,WAS,WAS @ BOS,08/13/2020,W,25,5,2,7,28.6,0,0,-,1,2,50.0,7,9,16,1,0,1,1,2,-2,27.7
Thomas Bryant,WAS,WAS @ BOS,08/13/2020,W,33,26,10,15,66.7,2,4,50.0,4,6,66.7,3,6,9,2,4,2,2,2,11,55.8
Troy Brown Jr.,WAS,WAS @ BOS,08/13/2020,W,34,17,5,16,31.3,2,5,40.0,5,6,83.3,2,6,8,3,3,1,3,3,9,40.1
Gary Clark,ORL,ORL vs. NOP,08/13/2020,W,29,8,3,7,42.9,2,5,40.0,0,0,-,1,1,2,0,0,2,1,3,-1,15.4
Josh Hart,NOP,NOP @ ORL,08/13/2020,L,36,23,7,14,50.0,3,9,33.3,6,8,75.0,1,13,14,6,1,1,2,0,-8,52.8
James Ennis III,ORL,ORL vs. NOP,08/13/2020,W,31,16,6,11,54.5,2,4,50.0,2,2,100,1,3,4,0,2,0,2,5,14,24.8
D.J. Augustin,ORL,ORL vs. NOP,08/13/2020,W,22,22,7,10,70.0,1,3,33.3,7,7,100,1,3,4,6,0,0,2,5,-5,33.8
Sindarius Thornwell,NOP,NOP @ ORL,08/13/2020,L,19,9,3,6,50.0,1,3,33.3,2,4,50.0,0,2,2,1,0,1,2,1,0,13.9
Markelle Fultz,ORL,ORL vs. NOP,08/13/2020,W,25,11,5,12,41.7,0,1,0.0,1,2,50.0,1,0,1,5,1,0,0,1,19,22.7
Khem Birch,ORL,ORL vs. NOP,08/13/2020,W,18,9,3,6,50.0,0,0,-,3,6,50.0,2,1,3,2,1,0,1,2,-9,17.6
Nikola Vucevic,ORL,ORL vs. NOP,08/13/2020,W,26,23,10,11,90.9,3,4,75.0,0,0,-,0,6,6,3,1,0,0,0,18,37.7
Jahlil Okafor,NOP,NOP @ ORL,08/13/2020,L,17,8,4,7,57.1,0,1,0.0,0,0,-,1,3,4,0,0,1,1,2,7,14.8
Nicolo Melli,NOP,NOP @ ORL,08/13/2020,L,25,6,2,6,33.3,1,5,20.0,1,1,100,0,5,5,1,0,0,0,1,-11,13.5
Kenrich Williams,NOP,NOP @ ORL,08/13/2020,L,19,0,0,1,0.0,0,1,0.0,0,0,-,2,3,5,1,2,0,0,3,12,13.5
Vic Law,ORL,ORL vs. NOP,08/13/2020,W,21,10,4,8,50.0,1,3,33.3,1,2,50.0,0,4,4,1,0,0,1,3,-9,15.3
BJ Johnson,ORL,ORL vs. NOP,08/13/2020,W,17,9,2,6,33.3,2,2,100,3,4,75.0,0,2,2,0,0,0,1,2,8,10.4
Melvin Frazier Jr.,ORL,ORL vs. NOP,08/13/2020,W,24,10,4,8,50.0,2,4,50.0,0,0,-,0,3,3,2,1,0,2,0,-16,17.6
Wes Iwundu,ORL,ORL vs. NOP,08/13/2020,W,27,15,4,5,80.0,2,2,100,5,7,71.4,0,4,4,6,0,0,2,1,11,26.8
Danny Green,LAL,LAL vs. SAC,08/13/2020,L,14,2,1,4,25.0,0,3,0.0,0,0,-,1,1,2,2,2,0,0,1,-3,13.4
Cory Joseph,SAC,SAC @ LAL,08/13/2020,W,20,13,5,6,83.3,3,3,100,0,0,-,0,2,2,2,1,0,2,1,5,19.4
JR Smith,LAL,LAL vs. SAC,08/13/2020,L,25,11,5,10,50.0,1,3,33.3,0,0,-,0,1,1,2,0,0,1,2,-15,14.2
Corey Brewer,SAC,SAC @ LAL,08/13/2020,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,0,1.5
Harrison Barnes,SAC,SAC @ LAL,08/13/2020,W,25,3,1,5,20.0,0,2,0.0,1,2,50.0,1,2,3,0,1,0,2,0,8,7.6
Quinn Cook,LAL,LAL vs. SAC,08/13/2020,L,31,12,4,11,36.4,1,5,20.0,3,3,100,1,3,4,4,0,1,2,1,-6,23.8
