PLAYER,TEAM,MATCH UP,GAME DATE,WL,MIN,PTS,FGM,FGA,FGP,ThreePM,ThreePA,ThreePP,FTM,FTA,FTP,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PlusMinus,FP
Deonte Burton,OKC,OKC @ LAC,08/14/2020,L,30,6,3,11,27.3,0,4,0.0,0,0,-,1,5,6,5,0,0,4,2,0,16.7
Malcolm Brogdon,IND,IND vs. MIA,08/14/2020,W,25,16,6,14,42.9,4,7,57.1,0,0,-,2,4,6,6,0,0,3,3,5,29.2
T.J. McConnell,IND,IND vs. MIA,08/14/2020,W,21,8,4,8,50.0,0,0,-,0,0,-,0,3,3,8,1,0,2,2,12,24.6
JaKarr Sampson,IND,IND vs. MIA,08/14/2020,W,23,10,5,9,55.6,0,0,-,0,0,-,1,3,4,2,2,0,2,1,5,21.8
Meyers Leonard,MIA,MIA @ IND,08/14/2020,L,29,9,3,7,42.9,2,5,40.0,1,2,50.0,2,5,7,0,0,0,3,0,-10,14.4
Nerlens Noel,OKC,OKC @ LAC,08/14/2020,L,15,5,2,2,100,0,0,-,1,2,50.0,0,1,1,0,0,1,2,3,-1,7.2
Steven Adams,OKC,OKC @ LAC,08/14/2020,L,6,0,0,2,0.0,0,0,-,0,0,-,2,2,4,0,0,0,1,0,2,3.8
Terrance Ferguson,OKC,OKC @ LAC,08/14/2020,L,17,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,0,0,0,0,4,-13,1.2
Joakim Noah,LAC,LAC vs. OKC,08/14/2020,W,29,9,4,7,57.1,0,0,-,1,2,50.0,1,5,6,5,1,0,4,1,8,22.7
Jamal Murray,DEN,DEN @ TOR,08/14/2020,L,10,11,4,5,80.0,3,3,100,0,0,-,0,0,0,1,1,0,0,2,-6,15.5
Chris Boucher,TOR,TOR vs. DEN,08/14/2020,W,22,9,3,8,37.5,1,3,33.3,2,3,66.7,4,5,9,0,0,1,1,2,5,21.8
Tyler Cook,DEN,DEN @ TOR,08/14/2020,L,16,4,1,2,50.0,0,0,-,2,2,100,2,2,4,0,2,0,2,1,-3,12.8
Troy Daniels,DEN,DEN @ TOR,08/14/2020,L,28,10,4,11,36.4,2,8,25.0,0,0,-,0,3,3,1,1,0,3,3,-2,15.1
Matt Thomas,TOR,TOR vs. DEN,08/14/2020,W,28,12,4,6,66.7,2,3,66.7,2,2,100,1,2,3,2,1,0,2,4,7,19.6
Malcolm Miller,TOR,TOR vs. DEN,08/14/2020,W,26,10,4,5,80.0,2,3,66.7,0,0,-,1,0,1,3,1,0,0,4,3,18.7
Stanley Johnson,TOR,TOR vs. DEN,08/14/2020,W,29,23,9,16,56.3,4,8,50.0,1,3,33.3,0,4,4,6,1,1,5,5,5,37.8
Dewan Hernandez,TOR,TOR vs. DEN,08/14/2020,W,13,4,2,6,33.3,0,0,-,0,0,-,3,4,7,1,0,0,1,0,0,12.9
