PLAYER,TEAM,MATCH UP,GAME DATE,WL,MIN,PTS,FGM,FGA,FGP,ThreePM,ThreePA,ThreePP,FTM,FTA,FTP,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PlusMinus,FP
Shaquille Harrison,DEN,DEN @ POR,05/16/2021,L,21,2,1,4,25.0,0,1,0.0,0,0,-,0,0,0,2,1,0,0,2,-8,8.0
CJ Elleby,POR,POR vs. DEN,05/16/2021,W,5,2,1,3,33.3,0,2,0.0,0,0,-,0,1,1,0,0,0,0,1,-11,3.2
Damian Lillard,POR,POR vs. DEN,05/16/2021,W,31,22,7,13,53.8,5,9,55.6,3,3,100,0,3,3,10,0,0,4,2,24,36.6
Aaron Gordon,DEN,DEN @ POR,05/16/2021,L,12,2,1,4,25.0,0,2,0.0,0,0,-,1,1,2,0,0,0,0,1,-11,4.4
Derrick Jones Jr.,POR,POR vs. DEN,05/16/2021,W,7,2,1,3,33.3,0,2,0.0,0,0,-,0,0,0,1,0,0,0,1,-8,3.5
Carmelo Anthony,POR,POR vs. DEN,05/16/2021,W,22,10,3,10,30.0,2,5,40.0,2,2,100,0,2,2,3,0,0,0,2,14,16.9
Justin Holiday,IND,IND @ TOR,05/16/2021,W,30,7,2,9,22.2,1,6,16.7,2,3,66.7,1,2,3,0,0,0,1,1,9,9.6
JaKarr Sampson,IND,IND @ TOR,05/16/2021,W,12,0,0,3,0.0,0,0,-,0,0,-,1,2,3,0,0,1,1,3,2,5.6
T.J. McConnell,IND,IND @ TOR,05/16/2021,W,40,12,6,10,60.0,0,2,0.0,0,0,-,1,4,5,17,2,1,2,2,13,50.5
Caris LeVert,IND,IND @ TOR,05/16/2021,W,21,13,4,8,50.0,1,2,50.0,4,4,100,0,1,1,6,2,0,1,1,11,28.2
Kelan Martin,IND,IND @ TOR,05/16/2021,W,18,13,4,11,36.4,3,7,42.9,2,2,100,0,4,4,1,0,0,1,0,3,18.3
Malachi Flynn,TOR,TOR vs. IND,05/16/2021,L,46,27,8,22,36.4,5,13,38.5,6,6,100,0,4,4,5,2,1,2,2,-12,46.3
Goga Bitadze,IND,IND @ TOR,05/16/2021,W,11,4,2,5,40.0,0,2,0.0,0,0,-,3,1,4,0,0,0,0,2,0,8.8
Freddie Gillespie,TOR,TOR vs. IND,05/16/2021,L,41,7,3,9,33.3,0,0,-,1,4,25.0,5,5,10,1,0,1,0,2,-14,23.5
DeAndre' Bembry,TOR,TOR vs. IND,05/16/2021,L,42,23,9,22,40.9,1,5,20.0,4,4,100,1,4,5,4,3,0,2,3,-12,42.0
Stanley Johnson,TOR,TOR vs. IND,05/16/2021,L,43,24,6,18,33.3,3,12,25.0,9,11,81.8,3,2,5,7,2,0,6,1,-8,40.5
Aron Baynes,TOR,TOR vs. IND,05/16/2021,L,26,14,5,11,45.5,3,5,60.0,1,2,50.0,2,8,10,0,0,1,1,2,-5,28.0
Oshae Brissett,IND,IND @ TOR,05/16/2021,W,36,31,10,16,62.5,5,8,62.5,6,9,66.7,1,9,10,3,0,0,0,3,10,47.5
Gorgui Dieng,SAS,SAS vs. PHX,05/16/2021,L,9,7,3,5,60.0,1,2,50.0,0,0,-,1,2,3,2,0,0,0,1,-4,13.6
Tre Jones,SAS,SAS vs. PHX,05/16/2021,L,18,9,3,5,60.0,0,1,0.0,3,4,75.0,0,0,0,7,1,0,0,1,5,22.5
Jevon Carter,PHX,PHX @ SAS,05/16/2021,W,43,19,9,22,40.9,1,6,16.7,0,0,-,3,7,10,9,3,0,2,0,5,51.5
E'Twaun Moore,PHX,PHX @ SAS,05/16/2021,W,21,22,9,10,90.0,2,2,100,2,2,100,1,1,2,2,0,1,2,0,-9,28.4
Cameron Payne,PHX,PHX @ SAS,05/16/2021,W,27,19,7,14,50.0,3,6,50.0,2,2,100,0,4,4,6,1,0,2,1,11,33.8
DeMar DeRozan,SAS,SAS vs. PHX,05/16/2021,L,25,23,8,14,57.1,1,1,100,6,7,85.7,1,2,3,4,0,0,2,1,-4,30.6
Frank Kaminsky,PHX,PHX @ SAS,05/16/2021,W,20,11,5,9,55.6,1,1,100,0,0,-,1,9,10,7,0,1,1,2,-10,35.5
Joe Ingles,UTA,UTA @ SAC,05/16/2021,W,30,10,3,8,37.5,2,6,33.3,2,2,100,0,5,5,7,1,0,2,2,13,27.5
Mike Conley,UTA,UTA @ SAC,05/16/2021,W,22,11,4,10,40.0,3,3,100,0,0,-,1,5,6,9,3,0,1,2,28,39.7
Derrick Favors,UTA,UTA @ SAC,05/16/2021,W,17,10,5,6,83.3,0,0,-,0,0,-,1,8,9,0,1,0,1,1,-8,22.8
Delon Wright,SAC,SAC vs. UTA,05/16/2021,L,31,7,3,8,37.5,1,5,20.0,0,0,-,0,3,3,3,1,2,2,1,-14,22.1
Royce O'Neale,UTA,UTA @ SAC,05/16/2021,W,28,9,3,7,42.9,2,6,33.3,1,2,50.0,0,2,2,2,0,1,2,2,9,15.4
Max Strus,MIA,MIA @ DET,05/16/2021,W,36,20,7,16,43.8,3,11,27.3,3,4,75.0,0,4,4,2,1,0,0,1,4,30.8
Anthony Davis,LAL,LAL @ NOP,05/16/2021,W,30,14,5,12,41.7,0,3,0.0,4,6,66.7,0,5,5,1,1,0,1,0,12,23.5
James Johnson,NOP,NOP vs. LAL,05/16/2021,L,26,8,4,11,36.4,0,2,0.0,0,3,0.0,1,3,4,3,0,0,2,4,-16,15.3
Nickeil Alexander-Walker,NOP,NOP vs. LAL,05/16/2021,L,37,14,5,15,33.3,2,8,25.0,2,2,100,1,3,4,5,1,0,4,0,-2,25.3
Naji Marshall,NOP,NOP vs. LAL,05/16/2021,L,35,18,6,13,46.2,4,6,66.7,2,2,100,0,6,6,7,1,0,7,1,-8,31.7
Andre Drummond,LAL,LAL @ NOP,05/16/2021,W,21,13,6,11,54.5,0,0,-,1,3,33.3,5,8,13,0,2,2,2,5,-1,38.6
Kira Lewis Jr.,NOP,NOP vs. LAL,05/16/2021,L,26,12,4,6,66.7,1,2,50.0,3,3,100,0,3,3,4,1,0,2,0,0,22.6
Willy Hernangomez,NOP,NOP vs. LAL,05/16/2021,L,30,19,8,11,72.7,0,0,-,3,5,60.0,4,9,13,1,0,2,2,4,-16,40.1
Marc Gasol,LAL,LAL @ NOP,05/16/2021,W,27,3,1,4,25.0,1,3,33.3,0,0,-,1,6,7,4,1,2,1,2,13,25.4
Kentavious Caldwell-Pope,LAL,LAL @ NOP,05/16/2021,W,27,10,4,8,50.0,2,6,33.3,0,0,-,0,1,1,6,1,0,0,3,17,23.2
LeBron James,LAL,LAL @ NOP,05/16/2021,W,27,25,11,22,50.0,2,5,40.0,1,2,50.0,1,0,1,6,3,0,2,0,-2,42.2
Alfonzo McKinnie,LAL,LAL @ NOP,05/16/2021,W,1,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,2.0
Talen Horton-Tucker,LAL,LAL @ NOP,05/16/2021,W,14,6,2,6,33.3,1,2,50.0,1,2,50.0,0,1,1,1,2,0,1,1,0,13.7
Didi Louzada,NOP,NOP vs. LAL,05/16/2021,L,19,0,0,2,0.0,0,1,0.0,0,0,-,0,1,1,1,0,0,3,1,-16,-0.3
Jaxson Hayes,NOP,NOP vs. LAL,05/16/2021,L,20,10,4,7,57.1,0,0,-,2,2,100,2,5,7,3,1,0,0,2,4,25.9
Dorian Finney-Smith,DAL,DAL @ MIN,05/16/2021,L,28,15,6,9,66.7,3,5,60.0,0,0,-,1,3,4,1,0,0,3,1,-14,18.3
Wenyen Gabriel,NOP,NOP vs. LAL,05/16/2021,L,20,4,1,4,25.0,0,2,0.0,2,2,100,0,4,4,0,0,1,0,6,4,11.8
Kyle Kuzma,LAL,LAL @ NOP,05/16/2021,W,27,8,3,5,60.0,0,0,-,2,2,100,0,6,6,3,0,0,0,0,7,19.7
James Nunnally,NOP,NOP vs. LAL,05/16/2021,L,6,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,1,0,2,0.2
Alex Caruso,LAL,LAL @ NOP,05/16/2021,W,19,9,4,8,50.0,1,4,25.0,0,0,-,1,2,3,5,0,1,1,2,13,22.1
Kristaps Porzingis,DAL,DAL @ MIN,05/16/2021,L,26,18,6,10,60.0,4,5,80.0,2,2,100,0,4,4,1,0,1,0,2,-14,27.3
D'Angelo Russell,MIN,MIN vs. DAL,05/16/2021,W,36,23,8,19,42.1,3,9,33.3,4,5,80.0,0,3,3,10,3,0,2,0,13,48.6
Trey Burke,DAL,DAL @ MIN,05/16/2021,L,10,2,1,4,25.0,0,2,0.0,0,0,-,0,1,1,1,0,0,0,0,1,4.7
Boban Marjanovic,DAL,DAL @ MIN,05/16/2021,L,4,3,0,0,-,0,0,-,3,4,75.0,0,0,0,1,0,0,1,0,-1,3.5
Juancho Hernangomez,MIN,MIN vs. DAL,05/16/2021,W,11,2,1,2,50.0,0,1,0.0,0,0,-,0,1,1,2,0,0,1,3,7,5.2
Nate Hinton,DAL,DAL @ MIN,05/16/2021,L,4,0,0,2,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,1,-1,0.0
Jalen Brunson,DAL,DAL @ MIN,05/16/2021,L,27,15,6,12,50.0,2,4,50.0,1,1,100,0,0,0,3,1,0,2,2,0,20.5
Tyler Bey,DAL,DAL @ MIN,05/16/2021,L,4,0,0,2,0.0,0,0,-,0,0,-,1,1,2,0,0,0,1,0,-1,1.4
Josh Okogie,MIN,MIN vs. DAL,05/16/2021,W,21,6,2,4,50.0,1,3,33.3,1,2,50.0,1,1,2,1,2,1,1,2,1,17.9
Jordan McLaughlin,MIN,MIN vs. DAL,05/16/2021,W,11,7,3,3,100,1,1,100,0,0,-,0,0,0,3,1,0,0,1,-2,14.5
Willie Cauley-Stein,DAL,DAL @ MIN,05/16/2021,L,9,0,0,1,0.0,0,0,-,0,0,-,1,1,2,0,0,1,1,4,0,4.4
Dwight Powell,DAL,DAL @ MIN,05/16/2021,L,28,6,2,3,66.7,0,0,-,2,2,100,3,4,7,8,0,2,1,5,-12,31.4
Ricky Rubio,MIN,MIN vs. DAL,05/16/2021,W,20,2,1,3,33.3,0,2,0.0,0,0,-,0,3,3,7,0,0,1,1,8,15.1
Dennis Schroder,LAL,LAL @ NOP,05/16/2021,W,29,12,5,11,45.5,2,6,33.3,0,0,-,0,3,3,4,2,0,0,3,-1,27.6
Eric Bledsoe,NOP,NOP vs. LAL,05/16/2021,L,22,13,5,9,55.6,2,4,50.0,1,2,50.0,0,4,4,2,0,2,0,0,-12,26.8
Ben McLemore,LAL,LAL @ NOP,05/16/2021,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0.0
Wesley Matthews,LAL,LAL @ NOP,05/16/2021,W,11,8,3,6,50.0,2,5,40.0,0,0,-,0,0,0,0,2,0,1,0,1,13.0
Jared Dudley,LAL,LAL @ NOP,05/16/2021,W,4,0,0,2,0.0,0,1,0.0,0,0,-,0,2,2,0,0,0,0,0,-1,2.4
Saddiq Bey,DET,DET vs. MIA,05/16/2021,L,37,22,7,21,33.3,4,15,26.7,4,5,80.0,1,4,5,4,1,1,2,2,-14,38.0
KZ Okpala,MIA,MIA @ DET,05/16/2021,W,34,17,6,9,66.7,0,1,0.0,5,5,100,1,4,5,2,2,2,2,4,9,36.0
Robert Woodard II,SAC,SAC vs. UTA,05/16/2021,L,11,2,1,4,25.0,0,0,-,0,0,-,1,2,3,1,0,1,0,1,1,10.1
Khem Birch,TOR,TOR vs. IND,05/16/2021,L,42,18,8,15,53.3,0,3,0.0,2,2,100,5,9,14,4,1,0,1,2,-9,42.8
Doug McDermott,IND,IND @ TOR,05/16/2021,W,32,20,8,15,53.3,4,8,50.0,0,0,-,0,1,1,2,1,1,1,4,3,29.2
Domantas Sabonis,IND,IND @ TOR,05/16/2021,W,39,25,12,18,66.7,1,2,50.0,0,0,-,3,13,16,5,3,0,6,3,9,54.7
Mike Scott,PHI,PHI vs. ORL,05/16/2021,W,25,5,2,8,25.0,1,5,20.0,0,0,-,0,2,2,4,0,1,0,3,-4,16.4
George Hill,PHI,PHI vs. ORL,05/16/2021,W,22,14,5,6,83.3,3,4,75.0,1,1,100,0,1,1,4,1,0,0,0,14,24.2
Dwight Howard,PHI,PHI vs. ORL,05/16/2021,W,17,5,2,4,50.0,0,0,-,1,2,50.0,1,6,7,2,2,0,4,4,9,18.4
Gary Clark,PHI,PHI vs. ORL,05/16/2021,W,9,0,0,1,0.0,0,0,-,0,0,-,0,1,1,0,0,0,0,0,1,1.2
Shake Milton,PHI,PHI vs. ORL,05/16/2021,W,26,15,6,13,46.2,3,6,50.0,0,0,-,0,4,4,9,1,2,0,3,7,42.3
Donta Hall,ORL,ORL @ PHI,05/16/2021,L,25,14,4,6,66.7,0,0,-,6,8,75.0,3,7,10,2,0,2,2,4,5,33.0
Moritz Wagner,ORL,ORL @ PHI,05/16/2021,L,35,14,4,5,80.0,1,2,50.0,5,6,83.3,0,4,4,1,1,1,1,4,-8,25.3
Tyrese Maxey,PHI,PHI vs. ORL,05/16/2021,W,35,30,11,19,57.9,3,4,75.0,5,5,100,0,7,7,6,1,1,1,4,16,52.4
Rayjon Tucker,PHI,PHI vs. ORL,05/16/2021,W,18,10,4,5,80.0,0,0,-,2,5,40.0,0,2,2,1,0,0,1,2,-13,12.9
Sindarius Thornwell,ORL,ORL @ PHI,05/16/2021,L,19,7,2,2,100,1,1,100,2,2,100,0,2,2,3,0,0,1,3,12,12.9
Gary Harris,ORL,ORL @ PHI,05/16/2021,L,14,7,3,5,60.0,0,2,0.0,1,1,100,0,0,0,2,0,0,1,1,-14,9.0
Anthony Tolliver,PHI,PHI vs. ORL,05/16/2021,W,13,9,3,4,75.0,3,4,75.0,0,0,-,0,1,1,0,0,0,0,1,6,10.2
Isaiah Joe,PHI,PHI vs. ORL,05/16/2021,W,33,17,4,12,33.3,4,10,40.0,5,6,83.3,0,3,3,2,2,0,1,3,-2,28.6
Chasson Randle,ORL,ORL @ PHI,05/16/2021,L,25,11,4,7,57.1,1,3,33.3,2,2,100,0,2,2,3,1,0,2,3,5,18.9
Furkan Korkmaz,PHI,PHI vs. ORL,05/16/2021,W,19,6,2,9,22.2,2,7,28.6,0,0,-,1,0,1,4,0,0,2,4,19,11.2
Mo Bamba,ORL,ORL @ PHI,05/16/2021,L,23,9,3,10,30.0,2,5,40.0,1,2,50.0,2,4,6,4,0,0,1,3,-16,21.2
Cole Anthony,ORL,ORL @ PHI,05/16/2021,L,38,37,10,25,40.0,3,9,33.3,14,14,100,2,6,8,2,1,0,6,3,-17,46.6
Dwayne Bacon,ORL,ORL @ PHI,05/16/2021,L,27,9,3,7,42.9,0,1,0.0,3,4,75.0,2,5,7,2,0,0,0,1,-25,20.4
Ignas Brazdeikis,ORL,ORL @ PHI,05/16/2021,L,34,9,3,9,33.3,2,5,40.0,1,2,50.0,0,8,8,4,1,0,2,3,3,25.6
Paul Reed,PHI,PHI vs. ORL,05/16/2021,W,24,17,7,13,53.8,0,0,-,3,4,75.0,7,5,12,3,1,1,2,3,2,39.9
Tyler Herro,MIA,MIA @ DET,05/16/2021,W,35,16,7,13,53.8,1,5,20.0,1,2,50.0,0,6,6,11,0,0,1,3,21,38.7
Saben Lee,DET,DET vs. MIA,05/16/2021,L,28,10,5,8,62.5,0,1,0.0,0,0,-,0,2,2,7,0,1,2,1,0,23.9
Cory Joseph,DET,DET vs. MIA,05/16/2021,L,31,14,6,14,42.9,2,4,50.0,0,0,-,1,3,4,5,1,1,2,2,-8,30.3
Gabe Vincent,MIA,MIA @ DET,05/16/2021,W,37,15,6,12,50.0,3,7,42.9,0,0,-,0,6,6,10,2,0,3,3,3,40.2
Duncan Robinson,MIA,MIA @ DET,05/16/2021,W,19,8,3,5,60.0,2,4,50.0,0,0,-,0,2,2,1,2,1,0,2,9,20.9
Killian Hayes,DET,DET vs. MIA,05/16/2021,L,31,10,3,7,42.9,2,5,40.0,2,2,100,0,0,0,4,1,0,3,5,-9,16.0
Hamidou Diallo,DET,DET vs. MIA,05/16/2021,L,30,15,4,8,50.0,1,3,33.3,6,9,66.7,1,4,5,2,0,0,4,4,-13,20.0
Tyler Cook,DET,DET vs. MIA,05/16/2021,L,35,12,6,8,75.0,0,0,-,0,0,-,2,7,9,1,0,0,0,1,-4,24.3
Nemanja Bjelica,MIA,MIA @ DET,05/16/2021,W,38,21,8,13,61.5,4,6,66.7,1,2,50.0,2,4,6,6,2,1,2,3,13,44.2
Nicolo Melli,DAL,DAL @ MIN,05/16/2021,L,15,10,3,6,50.0,2,5,40.0,2,2,100,2,3,5,2,1,0,0,0,2,22.0
Karl-Anthony Towns,MIN,MIN vs. DAL,05/16/2021,W,31,23,6,12,50.0,1,4,25.0,10,11,90.9,2,7,9,5,2,0,1,6,14,46.3
Josh Richardson,DAL,DAL @ MIN,05/16/2021,L,22,11,5,14,35.7,1,4,25.0,0,0,-,2,3,5,4,0,0,2,1,-2,21.0
Precious Achiuwa,MIA,MIA @ DET,05/16/2021,W,42,23,10,16,62.5,0,0,-,3,7,42.9,3,7,10,0,2,1,2,3,6,42.0
Josh Jackson,DET,DET vs. MIA,05/16/2021,L,24,17,6,15,40.0,2,7,28.6,3,5,60.0,1,2,3,3,1,0,2,3,-9,26.1
Jahlil Okafor,DET,DET vs. MIA,05/16/2021,L,24,7,3,5,60.0,0,0,-,1,1,100,1,4,5,0,0,1,1,3,-8,15.0
Kyrie Irving,BKN,BKN vs. CLE,05/16/2021,W,29,17,7,11,63.6,3,3,100,0,0,-,0,6,6,2,3,3,1,3,29,44.2
Mike James,BKN,BKN vs. CLE,05/16/2021,W,28,14,6,16,37.5,2,6,33.3,0,1,0.0,0,4,4,8,2,0,2,2,-12,34.8
Jordan Nwora,MIL,MIL @ CHI,05/16/2021,L,36,34,14,23,60.9,4,8,50.0,2,4,50.0,4,10,14,0,2,3,3,3,-9,62.8
Justin Jackson,MIL,MIL @ CHI,05/16/2021,L,33,9,3,9,33.3,2,6,33.3,1,2,50.0,2,4,6,1,0,0,1,1,4,16.7
Javonte Green,CHI,CHI vs. MIL,05/16/2021,W,23,6,3,5,60.0,0,1,0.0,0,0,-,0,2,2,1,4,1,0,3,12,24.9
Elijah Bryant,MIL,MIL @ CHI,05/16/2021,L,32,16,6,13,46.2,1,5,20.0,3,3,100,2,4,6,3,0,1,4,4,11,26.7
Cristiano Felicio,CHI,CHI vs. MIL,05/16/2021,W,18,5,2,5,40.0,0,1,0.0,1,2,50.0,3,5,8,0,1,0,0,2,5,17.6
Thaddeus Young,CHI,CHI vs. MIL,05/16/2021,W,26,20,8,15,53.3,0,1,0.0,4,6,66.7,1,6,7,3,0,3,4,2,5,37.9
Mamadi Diakite,MIL,MIL @ CHI,05/16/2021,L,38,13,4,11,36.4,0,1,0.0,5,8,62.5,2,5,7,1,2,0,0,4,-10,28.9
Patrick Williams,CHI,CHI vs. MIL,05/16/2021,W,30,11,4,8,50.0,0,1,0.0,3,3,100,3,4,7,1,1,2,3,2,-2,26.9
Semi Ojeleye,BOS,BOS @ NYK,05/16/2021,L,16,5,2,6,33.3,1,5,20.0,0,0,-,0,2,2,1,0,0,1,1,-10,7.9
Alec Burks,NYK,NYK vs. BOS,05/16/2021,W,25,17,6,10,60.0,5,7,71.4,0,0,-,1,5,6,0,1,0,2,3,1,25.2
Taj Gibson,NYK,NYK vs. BOS,05/16/2021,W,16,4,2,4,50.0,0,0,-,0,0,-,1,2,3,2,0,1,0,3,3,13.6
