PLAYER,TEAM,MATCH UP,GAME DATE,WL,MIN,PTS,FGM,FGA,FGP,ThreePM,ThreePA,ThreePP,FTM,FTA,FTP,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PlusMinus,FP
Luke Kennard,LAC,LAC @ OKC,05/16/2021,L,30,13,6,14,42.9,1,7,14.3,0,0,-,0,3,3,1,3,0,0,2,-3,27.1
Tacko Fall,BOS,BOS @ NYK,05/16/2021,L,17,3,1,2,50.0,0,0,-,1,2,50.0,4,4,8,0,0,3,0,2,-6,21.6
Romeo Langford,BOS,BOS @ NYK,05/16/2021,L,34,14,5,11,45.5,0,1,0.0,4,6,66.7,1,3,4,1,1,0,2,4,-1,21.3
Luka Doncic,DAL,DAL @ MIN,05/16/2021,L,21,18,6,13,46.2,2,7,28.6,4,5,80.0,0,6,6,6,2,0,4,1,-15,36.2
Jaden McDaniels,MIN,MIN vs. DAL,05/16/2021,W,32,19,8,13,61.5,3,7,42.9,0,0,-,2,1,3,2,0,1,2,4,15,26.6
Tim Hardaway Jr.,DAL,DAL @ MIN,05/16/2021,L,24,15,5,7,71.4,2,3,66.7,3,3,100,0,0,0,4,0,1,1,1,-20,23.0
Josh Green,DAL,DAL @ MIN,05/16/2021,L,17,8,4,8,50.0,0,2,0.0,0,1,0.0,1,1,2,1,1,0,0,1,2,14.9
Naz Reid,MIN,MIN vs. DAL,05/16/2021,W,17,17,7,7,100,3,3,100,0,0,-,1,4,5,0,0,0,0,3,1,23.0
Jarred Vanderbilt,MIN,MIN vs. DAL,05/16/2021,W,24,7,3,6,50.0,0,1,0.0,1,2,50.0,5,7,12,1,3,0,0,1,9,31.9
Anthony Edwards,MIN,MIN vs. DAL,05/16/2021,W,38,30,10,21,47.6,5,9,55.6,5,5,100,0,0,0,4,0,2,1,1,9,41.0
Jarrell Brantley,UTA,UTA @ SAC,05/16/2021,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-6,0.0
Juwan Morgan,UTA,UTA @ SAC,05/16/2021,W,3,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-6,0.0
Trent Forrest,UTA,UTA @ SAC,05/16/2021,W,7,0,0,1,0.0,0,0,-,0,0,-,1,1,2,0,1,0,2,0,-8,3.4
Miye Oni,UTA,UTA @ SAC,05/16/2021,W,14,3,1,1,100,1,1,100,0,0,-,0,0,0,1,0,0,0,1,19,4.5
Chimezie Metu,SAC,SAC vs. UTA,05/16/2021,L,32,8,4,10,40.0,0,2,0.0,0,0,-,1,7,8,0,0,0,0,2,-11,17.6
Udoka Azubuike,UTA,UTA @ SAC,05/16/2021,W,3,4,0,0,-,0,0,-,4,4,100,0,0,0,0,0,0,0,0,-6,4.0
Jalen Smith,PHX,PHX @ SAS,05/16/2021,W,41,11,5,11,45.5,1,4,25.0,0,0,-,0,10,10,2,0,1,0,3,5,29.0
Keldon Johnson,SAS,SAS vs. PHX,05/16/2021,L,22,9,4,8,50.0,0,2,0.0,1,2,50.0,1,3,4,4,1,0,1,1,-4,21.8
Drew Eubanks,SAS,SAS vs. PHX,05/16/2021,L,9,4,2,4,50.0,0,0,-,0,0,-,1,2,3,0,0,0,1,0,9,6.6
Jakob Poeltl,SAS,SAS vs. PHX,05/16/2021,L,30,17,8,14,57.1,0,0,-,1,3,33.3,3,7,10,0,0,3,0,0,-7,38.0
Keita Bates-Diop,SAS,SAS vs. PHX,05/16/2021,L,12,9,4,6,66.7,0,0,-,1,1,100,2,3,5,0,0,0,0,0,2,15.0
Quinndary Weatherspoon,SAS,SAS vs. PHX,05/16/2021,L,12,11,5,6,83.3,1,1,100,0,0,-,1,0,1,2,1,0,0,1,2,18.2
Lonnie Walker IV,SAS,SAS vs. PHX,05/16/2021,L,27,9,4,8,50.0,1,5,20.0,0,0,-,0,2,2,2,0,0,3,2,-8,11.4
Dejounte Murray,SAS,SAS vs. PHX,05/16/2021,L,30,6,3,10,30.0,0,2,0.0,0,0,-,1,6,7,4,1,0,1,0,-7,22.4
Dario Saric,PHX,PHX @ SAS,05/16/2021,W,27,13,6,12,50.0,1,3,33.3,0,0,-,2,2,4,4,2,0,1,1,13,28.8
Mikal Bridges,PHX,PHX @ SAS,05/16/2021,W,5,7,3,3,100,1,1,100,0,0,-,0,1,1,1,0,0,0,1,8,9.7
Torrey Craig,PHX,PHX @ SAS,05/16/2021,W,30,11,5,11,45.5,1,4,25.0,0,0,-,2,4,6,4,1,2,0,5,8,33.2
Devin Vassell,SAS,SAS vs. PHX,05/16/2021,L,26,5,2,9,22.2,1,5,20.0,0,0,-,0,2,2,2,0,1,2,1,7,11.4
Rudy Gay,SAS,SAS vs. PHX,05/16/2021,L,20,12,4,9,44.4,2,5,40.0,2,2,100,0,6,6,3,1,1,0,0,-1,29.7
Langston Galloway,PHX,PHX @ SAS,05/16/2021,W,26,10,4,12,33.3,2,8,25.0,0,0,-,1,0,1,1,0,0,0,0,-21,12.7
Bojan Bogdanovic,UTA,UTA @ SAC,05/16/2021,W,30,18,5,15,33.3,2,5,40.0,6,6,100,1,5,6,4,0,0,4,1,19,27.2
Buddy Hield,SAC,SAC vs. UTA,05/16/2021,L,31,13,5,12,41.7,1,7,14.3,2,3,66.7,1,6,7,9,1,0,1,0,-16,36.9
Georges Niang,UTA,UTA @ SAC,05/16/2021,W,19,10,3,7,42.9,2,5,40.0,2,2,100,0,1,1,1,0,0,0,1,10,12.7
Jahmi'us Ramsey,SAC,SAC vs. UTA,05/16/2021,L,21,12,5,9,55.6,1,3,33.3,1,1,100,0,1,1,1,0,0,1,4,1,13.7
Louis King,SAC,SAC vs. UTA,05/16/2021,L,28,12,5,12,41.7,2,3,66.7,0,0,-,0,3,3,3,3,1,2,5,-15,30.1
Damian Jones,SAC,SAC vs. UTA,05/16/2021,L,36,19,9,13,69.2,0,2,0.0,1,2,50.0,1,4,5,1,1,1,3,4,-13,29.5
Terence Davis,SAC,SAC vs. UTA,05/16/2021,L,32,20,8,14,57.1,2,5,40.0,2,2,100,1,2,3,1,2,0,2,3,-30,29.1
Jordan Clarkson,UTA,UTA @ SAC,05/16/2021,W,32,33,11,20,55.0,6,12,50.0,5,5,100,1,1,2,3,2,0,3,3,16,42.9
Rudy Gobert,UTA,UTA @ SAC,05/16/2021,W,28,13,6,8,75.0,0,1,0.0,1,4,25.0,4,12,16,1,0,2,0,1,36,39.7
Kyle Guy,SAC,SAC vs. UTA,05/16/2021,L,19,6,2,8,25.0,2,3,66.7,0,2,0.0,0,6,6,5,2,0,1,2,-13,25.7
Matt Thomas,UTA,UTA @ SAC,05/16/2021,W,3,0,0,2,0.0,0,0,-,0,0,-,0,1,1,0,1,0,1,0,-6,3.2
Jeff Green,BKN,BKN vs. CLE,05/16/2021,W,22,13,4,6,66.7,3,4,75.0,2,2,100,0,2,2,0,1,1,1,1,-12,20.4
Kevin Durant,BKN,BKN vs. CLE,05/16/2021,W,29,23,8,10,80.0,1,2,50.0,6,6,100,0,8,8,13,0,0,2,2,29,50.1
Jeremiah Martin,CLE,CLE @ BKN,05/16/2021,L,12,4,2,5,40.0,0,1,0.0,0,0,-,1,0,1,1,1,1,0,0,9,12.7
Jarrett Allen,CLE,CLE @ BKN,05/16/2021,L,30,9,2,7,28.6,0,1,0.0,5,7,71.4,2,9,11,0,1,1,0,0,-20,28.2
Alize Johnson,BKN,BKN vs. CLE,05/16/2021,W,3,2,1,2,50.0,0,0,-,0,0,-,1,0,1,0,0,0,0,0,-3,3.2
Blake Griffin,BKN,BKN vs. CLE,05/16/2021,W,22,9,4,8,50.0,0,2,0.0,1,2,50.0,0,1,1,2,0,1,2,2,24,14.2
Reggie Perry,BKN,BKN vs. CLE,05/16/2021,W,3,0,0,1,0.0,0,0,-,0,0,-,0,1,1,0,0,0,0,1,-3,1.2
Harry Giles III,POR,POR vs. DEN,05/16/2021,W,5,2,1,3,33.3,0,1,0.0,0,0,-,0,2,2,1,0,1,0,0,-11,8.9
Bol Bol,DEN,DEN @ POR,05/16/2021,L,7,3,1,6,16.7,0,1,0.0,1,1,100,0,2,2,0,0,0,0,0,7,5.4
Facundo Campazzo,DEN,DEN @ POR,05/16/2021,L,14,2,0,3,0.0,0,2,0.0,2,2,100,0,2,2,2,1,0,0,1,-11,10.4
