PLAYER,TEAM,MATCH UP,GAME DATE,WL,MIN,PTS,FGM,FGA,FGP,ThreePM,ThreePA,ThreePP,FTM,FTA,FTP,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PlusMinus,FP
Tyler Cavanaugh,UTA,UTA @ LAC,04/10/2019,L,16,0,0,2,0.0,0,0,-,0,0,-,2,1,3,1,0,0,0,3,-9,5.1
Billy Garrett,NYK,NYK vs. DET,04/10/2019,L,14,6,2,5,40.0,0,2,0.0,2,2,100,0,0,0,1,0,0,1,0,5,6.5
Luke Kennard,DET,DET @ NYK,04/10/2019,W,25,27,9,14,64.3,4,8,50.0,5,5,100,0,5,5,2,0,0,2,3,19,34.0
Thon Maker,DET,DET @ NYK,04/10/2019,W,21,2,0,3,0.0,0,1,0.0,2,2,100,1,3,4,1,0,0,1,0,22,7.3
Glenn Robinson III,DET,DET @ NYK,04/10/2019,W,32,9,4,7,57.1,1,3,33.3,0,0,-,0,9,9,2,1,1,0,2,9,28.8
Mario Hezonja,NYK,NYK vs. DET,04/10/2019,L,21,0,0,3,0.0,0,1,0.0,0,0,-,0,3,3,4,3,0,6,3,-21,12.6
Jon Leuer,DET,DET @ NYK,04/10/2019,W,4,2,1,1,100,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-14,3.2
Langston Galloway,DET,DET @ NYK,04/10/2019,W,19,8,3,8,37.5,2,5,40.0,0,0,-,0,4,4,2,0,0,0,2,11,15.8
Wayne Ellington,DET,DET @ NYK,04/10/2019,W,18,12,4,9,44.4,4,8,50.0,0,0,-,0,1,1,1,1,0,1,0,19,16.7
Ish Smith,DET,DET @ NYK,04/10/2019,W,19,2,1,5,20.0,0,1,0.0,0,0,-,0,1,1,4,0,0,0,1,15,9.2
Jose Calderon,DET,DET @ NYK,04/10/2019,W,4,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,1,-14,0.0
Paul Millsap,DEN,DEN vs. MIN,04/10/2019,W,32,9,3,7,42.9,2,3,66.7,1,2,50.0,1,7,8,3,0,0,2,2,17,21.1
Anthony Tolliver,MIN,MIN @ DEN,04/10/2019,L,21,3,1,5,20.0,1,5,20.0,0,0,-,0,2,2,3,1,0,1,2,5,11.9
Joe Ingles,UTA,UTA @ LAC,04/10/2019,L,14,5,1,3,33.3,1,2,50.0,2,2,100,0,2,2,2,2,0,2,2,-3,14.4
Royce O'Neale,UTA,UTA @ LAC,04/10/2019,L,25,6,3,6,50.0,0,3,0.0,0,0,-,0,3,3,1,0,0,1,3,-2,10.1
Tyrone Wallace,LAC,LAC vs. UTA,04/10/2019,W,9,4,2,3,66.7,0,0,-,0,0,-,0,2,2,1,0,0,0,0,3,7.9
