PLAYER,TEAM,MATCH UP,GAME DATE,WL,MIN,PTS,FGM,FGA,FGP,ThreePM,ThreePA,ThreePP,FTM,FTA,FTP,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PlusMinus,FP
MarJon Beauchamp,MIL,MIL @ TOR,04/09/2023,L,30,10,4,10,40.0,2,5,40.0,0,0,-,0,6,6,4,0,0,2,2,6,21.2
Aaron Holiday,ATL,ATL @ BOS,04/09/2023,L,31,7,3,12,25.0,1,5,20.0,0,0,-,1,1,2,6,2,0,2,2,-7,22.4
Mfiondu Kabengele,BOS,BOS vs. ATL,04/09/2023,W,19,4,1,4,25.0,0,2,0.0,2,2,100,2,2,4,0,2,0,0,0,2,14.8
Payton Pritchard,BOS,BOS vs. ATL,04/09/2023,W,46,30,10,21,47.6,9,16,56.3,1,1,100,1,13,14,11,0,0,7,1,11,56.3
Vit Krejci,ATL,ATL @ BOS,04/09/2023,L,20,0,0,1,0.0,0,1,0.0,0,0,-,1,3,4,3,1,0,1,2,-6,11.3
Justin Champagnie,BOS,BOS vs. ATL,04/09/2023,W,20,5,2,12,16.7,1,5,20.0,0,0,-,2,2,4,3,1,0,0,0,3,17.3
AJ Griffin,ATL,ATL @ BOS,04/09/2023,L,29,13,5,13,38.5,1,5,20.0,2,3,66.7,1,2,3,2,2,0,0,0,-3,25.6
JD Davison,BOS,BOS vs. ATL,04/09/2023,W,35,8,3,6,50.0,1,3,33.3,1,2,50.0,1,2,3,3,0,2,2,1,-7,20.1
Tyrese Martin,ATL,ATL @ BOS,04/09/2023,L,16,4,2,6,33.3,0,2,0.0,0,0,-,3,3,6,1,0,0,1,0,-1,11.7
Jamal Cain,MIA,MIA vs. ORL,04/09/2023,W,19,18,6,7,85.7,4,4,100,2,3,66.7,0,5,5,1,2,0,2,1,13,29.5
Orlando Robinson,MIA,MIA vs. ORL,04/09/2023,W,12,0,0,1,0.0,0,1,0.0,0,0,-,1,2,3,2,0,0,0,0,12,6.6
Omer Yurtseven,MIA,MIA vs. ORL,04/09/2023,W,24,14,5,9,55.6,1,3,33.3,3,3,100,2,5,7,0,1,1,1,4,11,27.4
Admiral Schofield,ORL,ORL @ MIA,04/09/2023,L,25,8,3,10,30.0,0,6,0.0,2,2,100,0,1,1,4,1,0,3,0,-17,15.2
Chuma Okeke,ORL,ORL @ MIA,04/09/2023,L,33,14,5,11,45.5,4,8,50.0,0,0,-,1,3,4,5,3,0,2,1,-14,33.3
Bol Bol,ORL,ORL @ MIA,04/09/2023,L,27,8,4,12,33.3,0,3,0.0,0,1,0.0,2,4,6,5,2,0,1,3,-8,27.7
Duncan Robinson,MIA,MIA vs. ORL,04/09/2023,W,35,20,6,14,42.9,3,11,27.3,5,6,83.3,0,2,2,4,1,0,1,4,9,30.4
Goga Bitadze,ORL,ORL @ MIA,04/09/2023,L,20,4,2,4,50.0,0,0,-,0,0,-,4,4,8,1,1,0,1,2,-6,17.1
Victor Oladipo,MIA,MIA vs. ORL,04/09/2023,W,23,19,7,12,58.3,5,8,62.5,0,0,-,0,2,2,8,2,0,6,2,10,33.4
Michael Carter-Williams,ORL,ORL @ MIA,04/09/2023,L,17,8,3,6,50.0,1,2,50.0,1,3,33.3,0,0,0,3,1,0,3,4,-10,12.5
Kevon Harris,ORL,ORL @ MIA,04/09/2023,L,27,22,7,12,58.3,4,7,57.1,4,7,57.1,3,5,8,2,0,0,0,3,-7,34.6
